VAN Event ID,ActionKit Event ID or Page ID,Title of Event in RSVP Link,RSVP Link,
VAN Event ID,ActionKit Event ID or Page ID,Title of Event in RSVP Link,RSVP Link,
10555,,AZ - Tucson FAke Event,https://donate.everytown.org/event/wear-orange-events/1308/signup/,
10565,,New Jersey - Ridgewood Wear Orange,https://donate.everytown.org/event/wear-orange-events/1311/signup/,
10387,,NJ - Jersey City Be SMART,http://act.momsdemandaction.org/event/beSMART_attend/1257/signup/?t=2&referring_akid=2727.3623773.l0BB3m,
10588,,PA - Harrisburg Wear Orange canvassing,https://donate.everytown.org/event/wear-orange-events/1320/signup/,
10607,,KS - Wichita - Wear Orange,https://donate.everytown.org/event/wear-orange-events/1322/signup/,
10568,,WA - Seattle - BeSMART,https://donate.everytown.org/event/beSMART/1309/signup/,
10625,,WA - Anacortes - BeSMART,https://donate.everytown.org/event/beSMART/1326/host/,
10601,,VA:BeSMART:Crozet,https://donate.everytown.org/event/beSMART/1329/signup/,
10474,,Santa Fe Card Crafting Party,https://donate.everytown.org/event/wear-orange-events/1330/signup/,
10518,,WA - Redmond - BeSMART,https://donate.everytown.org/event/beSMART/1294/signup/,
10613,,VA-Virginia Beach BeSMART/Membership Meeting,https://donate.everytown.org/event/beSMART/1332/signup/,
10603,,VA:Blacksburg:BeSMART & Membership Meeting,https://donate.everytown.org/event/beSMART/1334/signup/,
10656,,IN - Be SMART - Ft. Wayne,https://donate.everytown.org/event/beSMART/1343/signup/,
10621,,IN - Be SMART - Evansville,http://act.everytown.org/event/beSMART_attend/1333/?source=taf,
10671,,CO - Arvada Be SMART,https://donate.everytown.org/event/beSMART/1344/signup/,
10689,,NC Be SMART House Party in Mooresville,https://donate.everytown.org/event/beSMART/1347/signup/,
10686,,NC - Greensboro Be SMART House Party Presentation,https://donate.everytown.org/event/beSMART/1348/signup/,
10627,,SC - Charleston Project Unity Youth Summit,https://donate.everytown.org/event/beSMART/1346/signup/,
10703,,North Carolina Moms Demand Action Stroller Jam,http://act.everytown.org/event/moms-events_attend/1357,
10615,,MT: Missoula Be SMART presentation,https://donate.everytown.org/event/beSMART/1350/signup/,
10122,,CA - Valencia - Welcome Coffee,http://act.everytown.org/event/moms-events_attend/1354,
10666,,CA San Diego Welcome Cofee,http://act.everytown.org/event/moms-events_attend/1353,
9920,,NM ABQ Be SMART,https://donate.everytown.org/event/beSMART/1366/signup/,
10831,,#RisingForCharleston Community Peace Walk in Chicago,http://act.everytown.org/event/rising-for-charleston-attend/1375,
10829,,,http://act.everytown.org/event/rising-for-charleston-attend2/1376,
10850,,,http://act.everytown.org/event/rising-for-charleston-attend/1377,MI
10833,,,http://act.everytown.org/event/rising-for-charleston-attend2/1380,Kansas
10832,,,http://act.everytown.org/event/rising-for-charleston-attend2/1379,Newtown
10841,,,http://act.everytown.org/event/rising-for-charleston-attend2/1378,CO
10848,,,http://act.everytown.org/event/rising-for-charleston-attend2/1383,WI
10837,,,http://act.everytown.org/event/rising-for-charleston-attend2/1382,LA
10836,,,http://act.everytown.org/event/rising-for-charleston-attend2/1381,CA
10819,,NC - Volunteer Appreciation Reception,http://act.everytown.org/event/moms-events_attend/1392,
10835,,NC - Town of Carrboro 4th of July Parade,http://act.everytown.org/event/moms-events_attend/1391,
10859,,,http://act.everytown.org/event/rising-for-charleston-event/1393/signup/,
10852,1390,WA - Camas - BeSMART House Party,https://donate.everytown.org/event/beSMART/1390/host/,
10885,1389,OR - Bend - BeSMART House Party,https://donate.everytown.org/event/beSMART/1389/host/,
10907,1396,OR - Hillsboro - BeSMART House Pary,https://donate.everytown.org/event/beSMART/1396/host/,
10929,1409,SC - Charleston Member Meet Up,https://donate.everytown.org/event/beSMART/1409/signup/,
10938,1410,WA - West Seattle - BeSMART House Party,https://donate.everytown.org/event/beSMART/1410/signup/,
10955,1434,GA - Dads Be Smart BBQ,https://donate.everytown.org/event/beSMART/1434/signup/,GA-DADs
10931,1421,NY- Candelight Walk Across BK Bridge,http://every.tw/1D38rfp,NY
11002,1444,MD - RisingForChaleston Sabbath - Dumbarton,https://act.everytown.org/event/rising-for-charleston-event/1444/signup/,
11053,1449,NC - Asheville - Be SMART House Party,https://donate.everytown.org/event/beSMART/1449/signup/,
11063,1455,Leo Test Event,https://donate.everytown.org/event/leo_test_campaign/1455/signup/,NY
10918,1416,#RisingForCharleston Service in Detroit,,
,2346,,,
